REP,ROW,TREAT_NAME,CONCATENATE TREATMENT,TREE_NMBR,SPECIES,DATE,HT,DIAM,DATE,BROWSE Y/N,MORT Y/N,HT,INITIAL & CURRENT HEIGHT,BROWSE LOSS,BROWSE FREQUENCY,MORTALITY COUNT,DATE,BROWSE Y/N,MORT Y/N,HT,CURRENT HEIGHT,BROWSE LOSS,BROWSE FREQUENCY,MORTALITY COUNT,DATE,BROWSE Y/N,MORT Y/N,HT,CURRENT HEIGHT,BROWSE LOSS,BROWSE FREQUENCY,MORTALITY COUNT
HUMANN RESOURCES 2010,A,SS CTRL,SS CTRL,11,SS,4/7/2015,38.608,4.064,4/23/2015,,,,38.608,0,0,0,6/2/2015,,,52.832,52.832,0,0,0,8/17/2015,,,63,63,0,0,0
HUMANN RESOURCES 2010,A,SS CTRL,SS CTRL,12,SS,4/7/2015,38.862,4.826,4/23/2015,,,,38.862,0,0,0,6/2/2015,,,46.228,46.228,0,0,0,8/17/2015,,Y,55,55,0,0,1
HUMANN RESOURCES 2010,A,SS CTRL,SS CTRL,13,SS,4/7/2015,36.576,3.302,4/23/2015,,,,36.576,0,0,0,6/2/2015,,,46.736,46.736,0,0,0,8/17/2015,,Y,56,56,0,0,1
HUMANN RESOURCES 2010,A,SS CTRL,SS CTRL,14,SS,4/7/2015,39.116,4.826,4/23/2015,,,,39.116,0,0,0,6/2/2015,,,52.07,52.07,0,0,0,8/17/2015,,Y,59,59,0,0,1
HUMANN RESOURCES 2010,A,SS CTRL,SS CTRL,15,SS,4/7/2015,39.878,4.318,4/23/2015,,,,39.878,0,0,0,6/2/2015,,,49.276,49.276,0,0,0,8/17/2015,,Y,54,54,0,0,1
HUMANN RESOURCES 2010,A,SS CTRL,SS CTRL,16,SS,4/7/2015,38.608,4.318,4/23/2015,,,,38.608,0,0,0,6/2/2015,,,39.37,39.37,0,0,0,8/17/2015,,,44,44,0,0,0
HUMANN RESOURCES 2010,A,SS CTRL,SS CTRL,17,SS,4/7/2015,38.862,4.572,4/23/2015,,,,38.862,0,0,0,6/2/2015,,,48.061118,48.061118,0,0,0,8/17/2015,,Y,56,56,0,0,1
HUMANN RESOURCES 2010,A,SS CTRL,SS CTRL,18,SS,4/7/2015,38.354,4.572,4/23/2015,,,,38.354,0,0,0,6/2/2015,,,54.61,54.61,0,0,0,8/17/2015,,Y,64,64,0,0,1
HUMANN RESOURCES 2010,A,SS CTRL,SS CTRL,19,SS,4/7/2015,45.72,4.826,4/23/2015,,,,45.72,0,0,0,6/2/2015,,,56.134,56.134,0,0,0,8/17/2015,,Y,63,63,0,0,1
HUMANN RESOURCES 2010,A,SS CTRL,SS CTRL,20,SS,4/7/2015,43.18,4.318,4/23/2015,,,,43.18,0,0,0,6/2/2015,,,55.88,55.88,0,0,0,8/17/2015,,Y,59,59,0,0,1
HUMANN RESOURCES 2010,B,PLANTSKYDD,PLANTSKYDD,1,WRC,4/7/2015,40.64,5.08,4/23/2015,,,,40.64,0,0,0,6/2/2015,,,45.466,45.466,0,0,0,8/17/2015,Y,Y,52,52,0,1,1
HUMANN RESOURCES 2010,B,PLANTSKYDD,PLANTSKYDD,2,WRC,4/7/2015,25.4,2.794,4/23/2015,,,,25.4,0,0,0,6/2/2015,,Y,20.574,20.574,0,0,1,8/17/2015,Y,Y,23,23,0,1,1
HUMANN RESOURCES 2010,B,PLANTSKYDD,PLANTSKYDD,3,WRC,4/7/2015,20.32,2.286,4/23/2015,,,,20.32,0,0,0,6/2/2015,,,20.828,20.828,0,0,0,8/17/2015,,Y,20.5,20.5,0,0,1
HUMANN RESOURCES 2010,B,PLANTSKYDD,PLANTSKYDD,4,WRC,4/7/2015,27.94,3.302,4/23/2015,,,,27.94,0,0,0,6/2/2015,,,33.274,33.274,0,0,0,8/17/2015,Y,Y,23,23,10.274,1,1
HUMANN RESOURCES 2010,B,PLANTSKYDD,PLANTSKYDD,5,WRC,4/7/2015,33.02,3.302,4/23/2015,,,,33.02,0,0,0,6/2/2015,,,44.45,44.45,0,0,0,8/17/2015,,Y,47,47,0,0,1
HUMANN RESOURCES 2010,B,PLANTSKYDD,PLANTSKYDD,6,WRC,4/7/2015,26.416,4.064,4/23/2015,,,,26.416,0,0,0,6/2/2015,,,38.354,38.354,0,0,0,8/17/2015,,Y,42.5,42.5,0,0,1
HUMANN RESOURCES 2010,B,PLANTSKYDD,PLANTSKYDD,7,WRC,4/7/2015,35.56,5.08,4/23/2015,,,,35.56,0,0,0,6/2/2015,,,45.974,45.974,0,0,0,8/17/2015,,Y,53,53,0,0,1
HUMANN RESOURCES 2010,B,PLANTSKYDD,PLANTSKYDD,8,WRC,4/7/2015,34.798,5.08,4/23/2015,,,,34.798,0,0,0,6/2/2015,,,48.006,48.006,0,0,0,8/17/2015,,Y,51,51,0,0,1
HUMANN RESOURCES 2010,B,PLANTSKYDD,PLANTSKYDD,9,WRC,4/7/2015,48.26,4.318,4/23/2015,,,,48.26,0,0,0,6/2/2015,,,51.054,51.054,0,0,0,8/17/2015,,Y,54,54,0,0,1
HUMANN RESOURCES 2010,B,PLANTSKYDD,PLANTSKYDD,10,WRC,4/7/2015,27.94,2.032,4/23/2015,,,,27.94,0,0,0,6/2/2015,,,33.02,33.02,0,0,0,8/17/2015,,Y,,,,0,1
HUMANN RESOURCES 2010,B,PLANTSKYDD,PLANTSKYDD,11,WRC,4/7/2015,27.94,4.572,4/23/2015,,,,27.94,0,0,0,6/2/2015,,,38.608,38.608,0,0,0,8/17/2015,,Y,42,42,0,0,1
HUMANN RESOURCES 2010,B,PLANTSKYDD,PLANTSKYDD,12,WRC,4/7/2015,27.94,3.302,4/23/2015,,,,27.94,0,0,0,6/2/2015,,,40.386,40.386,0,0,0,8/17/2015,,Y,44,44,0,0,1
HUMANN RESOURCES 2010,B,PLANTSKYDD,PLANTSKYDD,13,WRC,4/7/2015,28.956,3.302,4/23/2015,,,,28.956,0,0,0,6/2/2015,,,40.894,40.894,0,0,0,8/17/2015,,Y,45,45,0,0,1
HUMANN RESOURCES 2010,B,PLANTSKYDD,PLANTSKYDD,14,WRC,4/7/2015,24.638,2.286,4/23/2015,,,,24.638,0,0,0,6/2/2015,,,23.368,23.368,0,0,0,8/17/2015,,Y,46,46,0,0,1
HUMANN RESOURCES 2010,B,PLANTSKYDD,PLANTSKYDD,15,WRC,4/7/2015,25.4,2.286,4/23/2015,,,,25.4,0,0,0,6/2/2015,,,27.686,27.686,0,0,0,8/17/2015,,Y,30.5,30.5,0,0,1
HUMANN RESOURCES 2010,B,PLANTSKYDD,PLANTSKYDD,16,WRC,4/7/2015,27.178,3.302,4/23/2015,,,,27.178,0,0,0,6/2/2015,,,31.242,31.242,0,0,0,8/17/2015,,Y,,,,0,1
HUMANN RESOURCES 2010,B,PLANTSKYDD,PLANTSKYDD,17,WRC,4/7/2015,22.86,2.286,4/23/2015,,,,22.86,0,0,0,6/2/2015,,,25.4,25.4,0,0,0,8/17/2015,,Y,26,26,0,0,1
HUMANN RESOURCES 2010,B,PLANTSKYDD,PLANTSKYDD,18,WRC,4/7/2015,23.876,2.794,4/23/2015,,,,23.876,0,0,0,6/2/2015,,,30.226,30.226,0,0,0,8/17/2015,,Y,33,33,0,0,1
HUMANN RESOURCES 2010,B,PLANTSKYDD,PLANTSKYDD,19,WRC,4/7/2015,38.1,2.54,4/23/2015,,,,38.1,0,0,0,6/2/2015,,,45.974,45.974,0,0,0,8/17/2015,,Y,46,46,0,0,1
HUMANN RESOURCES 2010,B,PLANTSKYDD,PLANTSKYDD,20,WRC,4/7/2015,30.48,3.81,4/23/2015,,,,30.48,0,0,0,6/2/2015,,,36.322,36.322,0,0,0,8/17/2015,,Y,42,42,0,0,1
HUMANN RESOURCES 2010,C,VEXAR,VEXAR,1,WRC,4/7/2015,30.48,3.81,4/23/2015,,,,30.48,0,0,0,6/2/2015,,,40.64,40.64,0,0,0,8/17/2015,,Y,45,45,0,0,1
HUMANN RESOURCES 2010,C,VEXAR,VEXAR,2,WRC,4/7/2015,28.956,4.064,4/23/2015,,,,28.956,0,0,0,6/2/2015,,,37.846,37.846,0,0,0,8/17/2015,,Y,41,41,0,0,1
HUMANN RESOURCES 2010,C,VEXAR,VEXAR,3,WRC,4/7/2015,31.496,3.048,4/23/2015,,,,31.496,0,0,0,6/2/2015,,,42.164,42.164,0,0,0,8/17/2015,,Y,50,50,0,0,1
HUMANN RESOURCES 2010,C,VEXAR,VEXAR,4,WRC,4/7/2015,18.542,3.048,4/23/2015,,,,18.542,0,0,0,6/2/2015,,,24.13,24.13,0,0,0,8/17/2015,,Y,26,26,0,0,1
HUMANN RESOURCES 2010,C,VEXAR,VEXAR,5,WRC,4/7/2015,28.956,2.54,4/23/2015,,,,28.956,0,0,0,6/2/2015,,,41.91,41.91,0,0,0,8/17/2015,,Y,42,42,0,0,1
HUMANN RESOURCES 2010,C,VEXAR,VEXAR,6,WRC,4/7/2015,39.878,4.572,4/23/2015,,,,39.878,0,0,0,6/2/2015,,,47.244,47.244,0,0,0,8/17/2015,,Y,53,53,0,0,1
HUMANN RESOURCES 2010,C,VEXAR,VEXAR,7,WRC,4/7/2015,27.94,3.556,4/23/2015,,,,27.94,0,0,0,6/2/2015,,,36.83,36.83,0,0,0,8/17/2015,,Y,36,36,0,0,1
HUMANN RESOURCES 2010,C,VEXAR,VEXAR,8,WRC,4/7/2015,22.86,3.048,4/23/2015,,,,22.86,0,0,0,6/2/2015,,,24.638,24.638,0,0,0,8/17/2015,,Y,32,32,0,0,1
HUMANN RESOURCES 2010,C,VEXAR,VEXAR,9,WRC,4/7/2015,19.558,3.302,4/23/2015,,,,19.558,0,0,0,6/2/2015,,,21.336,21.336,0,0,0,8/17/2015,,Y,29,29,0,0,1
HUMANN RESOURCES 2010,C,VEXAR,VEXAR,10,WRC,4/7/2015,25.654,3.81,4/23/2015,,,,25.654,0,0,0,6/2/2015,,,26.416,26.416,0,0,0,8/17/2015,,Y,28,28,0,0,1
HUMANN RESOURCES 2010,C,VEXAR,VEXAR,11,WRC,4/7/2015,35.56,5.334,4/23/2015,,,,35.56,0,0,0,6/2/2015,,,42.164,42.164,0,0,0,8/17/2015,,Y,45,45,0,0,1
HUMANN RESOURCES 2010,C,VEXAR,VEXAR,12,WRC,4/7/2015,40.64,5.334,4/23/2015,,,,40.64,0,0,0,6/2/2015,,,47.244,47.244,0,0,0,8/17/2015,,Y,55,55,0,0,1
HUMANN RESOURCES 2010,C,VEXAR,VEXAR,13,WRC,4/7/2015,39.116,5.334,4/23/2015,,,,39.116,0,0,0,6/2/2015,,,53.848,53.848,0,0,0,8/17/2015,,Y,61,61,0,0,1
HUMANN RESOURCES 2010,C,VEXAR,VEXAR,14,WRC,4/7/2015,23.876,2.794,4/23/2015,,,,23.876,0,0,0,6/2/2015,,,31.242,31.242,0,0,0,8/17/2015,,Y,39,39,0,0,1
HUMANN RESOURCES 2010,C,VEXAR,VEXAR,15,WRC,4/7/2015,23.876,4.318,4/23/2015,,,,23.876,0,0,0,6/2/2015,,,24.892,24.892,0,0,0,8/17/2015,,Y,27,27,0,0,1
HUMANN RESOURCES 2010,C,VEXAR,VEXAR,16,WRC,4/7/2015,32.258,4.318,4/23/2015,,,,32.258,0,0,0,6/2/2015,,,48.768,48.768,0,0,0,8/17/2015,,Y,52,52,0,0,1
HUMANN RESOURCES 2010,C,VEXAR,VEXAR,17,WRC,4/7/2015,24.638,3.302,4/23/2015,,,,24.638,0,0,0,6/2/2015,,,33.782,33.782,0,0,0,8/17/2015,,Y,34,34,0,0,1
HUMANN RESOURCES 2010,C,VEXAR,VEXAR,18,WRC,4/7/2015,22.86,3.048,4/23/2015,,,,22.86,0,0,0,6/2/2015,,,26.924,26.924,0,0,0,8/17/2015,,Y,29,29,0,0,1
HUMANN RESOURCES 2010,C,VEXAR,VEXAR,19,WRC,4/7/2015,31.496,3.302,4/23/2015,,,,31.496,0,0,0,6/2/2015,,,43.434,43.434,0,0,0,8/17/2015,,Y,43,43,0,0,1
HUMANN RESOURCES 2010,C,VEXAR,VEXAR,20,WRC,4/7/2015,36.576,3.556,4/23/2015,,,,36.576,0,0,0,6/2/2015,,,51.054,51.054,0,0,0,8/17/2015,,Y,51,51,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING WRC,1,WRC,4/7/2015,23.114,3.556,4/23/2015,Y,,9.4,9.4,13.714,1,0,6/2/2015,Y,,29.718,29.718,0,1,0,8/17/2015,Y,Y,34,34,0,1,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING WRC,2,WRC,4/7/2015,21.336,3.81,4/23/2015,,,,21.336,0,0,0,6/2/2015,,,27.686,27.686,0,0,0,8/17/2015,,Y,34,34,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING WRC,3,WRC,4/7/2015,23.876,3.048,4/23/2015,,,,23.876,0,0,0,6/2/2015,,,29.718,29.718,0,0,0,8/17/2015,,Y,33,33,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING WRC,4,WRC,4/7/2015,31.496,3.556,4/23/2015,,,,31.496,0,0,0,6/2/2015,Y,,25.146,25.146,6.35,1,0,8/17/2015,Y,Y,29.5,29.5,0,1,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING WRC,5,WRC,4/7/2015,22.86,2.54,4/23/2015,,,,22.86,0,0,0,6/2/2015,,,20.828,20.828,0,0,0,8/17/2015,,Y,23,23,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING WRC,6,WRC,4/7/2015,30.48,3.556,4/23/2015,,,,30.48,0,0,0,6/2/2015,Y,,38.354,38.354,0,1,0,8/17/2015,Y,,49,49,0,1,0
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING WRC,7,WRC,4/7/2015,25.4,3.81,4/23/2015,,,,25.4,0,0,0,6/2/2015,Y,,35.814,35.814,0,1,0,8/17/2015,Y,,40.5,40.5,0,1,0
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING WRC,8,WRC,4/7/2015,18.796,2.286,4/23/2015,,,,18.796,0,0,0,6/2/2015,,,25.4,25.4,0,0,0,8/17/2015,,Y,26.5,26.5,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING WRC,9,WRC,4/7/2015,20.32,2.54,4/23/2015,,,,20.32,0,0,0,6/2/2015,,,22.606,22.606,0,0,0,8/17/2015,,Y,25,25,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING WRC,10,WRC,4/7/2015,28.956,3.556,4/23/2015,,,,28.956,0,0,0,6/2/2015,,,31.496,31.496,0,0,0,8/17/2015,,Y,32,32,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING WRC,11,WRC,4/7/2015,25.4,3.556,4/23/2015,,,,25.4,0,0,0,6/2/2015,,,30.734,30.734,0,0,0,8/17/2015,,Y,32,32,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING WRC,12,WRC,4/7/2015,26.416,3.048,4/23/2015,,,,26.416,0,0,0,6/2/2015,,,35.052,35.052,0,0,0,8/17/2015,,Y,35,35,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING WRC,13,WRC,4/7/2015,35.56,5.08,4/23/2015,,,,35.56,0,0,0,6/2/2015,,,44.704,44.704,0,0,0,8/17/2015,,Y,46,46,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING WRC,14,WRC,4/7/2015,43.18,4.064,4/23/2015,,,,43.18,0,0,0,6/2/2015,,,53.34,53.34,0,0,0,8/17/2015,,Y,56,56,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING WRC,15,WRC,4/7/2015,30.48,4.572,4/23/2015,,,,30.48,0,0,0,6/2/2015,,,41.656,41.656,0,0,0,8/17/2015,,Y,44,44,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING WRC,16,WRC,4/7/2015,22.86,3.048,4/23/2015,,,,22.86,0,0,0,6/2/2015,,,22.86,22.86,0,0,0,8/17/2015,,Y,23,23,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING WRC,17,WRC,4/7/2015,32.258,3.556,4/23/2015,Y,,17.018,17.018,15.24,1,0,6/2/2015,Y,,22.606,22.606,9.652,1,0,8/17/2015,Y,Y,25.5,25.5,0,1,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING WRC,18,WRC,4/7/2015,21.336,2.54,4/23/2015,Y,,19.304,19.304,2.032,1,0,6/2/2015,,,25.654,25.654,0,0,0,8/17/2015,,Y,27,27,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING WRC,19,WRC,4/7/2015,31.496,3.302,4/23/2015,Y,,15.24,15.24,16.256,1,0,6/2/2015,,Y,23.368,23.368,0,0,1,8/17/2015,,Y,17,17,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING WRC,20,WRC,4/7/2015,22.098,3.81,4/23/2015,Y,,16.002,16.002,6.096,1,0,6/2/2015,Y,,20.574,20.574,1.524,1,0,8/17/2015,Y,Y,22,22,0,1,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING SS,1,SS,4/7/2015,38.1,4.826,4/23/2015,,,,38.1,0,0,0,6/2/2015,,,53.34,53.34,0,0,0,8/17/2015,,Y,61,61,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING SS,2,SS,4/7/2015,41.656,4.064,4/23/2015,,,,41.656,0,0,0,6/2/2015,,,50.292,50.292,0,0,0,8/17/2015,,Y,60,60,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING SS,3,SS,4/7/2015,31.496,5.842,4/23/2015,,,,31.496,0,0,0,6/2/2015,,,42.164,42.164,0,0,0,8/17/2015,,Y,52,52,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING SS,4,SS,4/7/2015,34.036,4.064,4/23/2015,,,,34.036,0,0,0,6/2/2015,,,41.91,41.91,0,0,0,8/17/2015,,Y,44,44,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING SS,5,SS,4/7/2015,46.736,4.2418,4/23/2015,,,,46.736,0,0,0,6/2/2015,,,55.88,55.88,0,0,0,8/17/2015,,Y,66,66,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING SS,6,SS,4/7/2015,36.576,4.064,4/23/2015,,,,36.576,0,0,0,6/2/2015,,,48.768,48.768,0,0,0,8/17/2015,,,62,62,0,0,0
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING SS,7,SS,4/7/2015,38.1,4.572,4/23/2015,,,,38.1,0,0,0,6/2/2015,,,49.784,49.784,0,0,0,8/17/2015,,,60,60,0,0,0
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING SS,8,SS,4/7/2015,47.498,4.572,4/23/2015,,,,47.498,0,0,0,6/2/2015,,,61.468,61.468,0,0,0,8/17/2015,,Y,71,71,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING SS,9,SS,4/7/2015,44.958,5.334,4/23/2015,,,,44.958,0,0,0,6/2/2015,,,53.34,53.34,0,0,0,8/17/2015,,Y,63.5,63.5,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING SS,10,SS,4/7/2015,34.798,3.302,4/23/2015,,,,34.798,0,0,0,6/2/2015,,,46.99,46.99,0,0,0,8/17/2015,,Y,54,54,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING SS,11,SS,4/7/2015,40.64,4.572,4/23/2015,,,,40.64,0,0,0,6/2/2015,,,49.784,49.784,0,0,0,8/17/2015,,Y,59,59,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING SS,12,SS,4/7/2015,35.56,3.556,4/23/2015,,,,35.56,0,0,0,6/2/2015,,,48.006,48.006,0,0,0,8/17/2015,,Y,56,56,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING SS,13,SS,4/7/2015,48.26,4.318,4/23/2015,,,,48.26,0,0,0,6/2/2015,,,55.88,55.88,0,0,0,8/17/2015,,Y,63,63,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING SS,14,SS,4/7/2015,45.72,4.318,4/23/2015,,,,45.72,0,0,0,6/2/2015,,,58.928,58.928,0,0,0,8/17/2015,,Y,65,65,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING SS,15,SS,4/7/2015,39.116,4.318,4/23/2015,,,,39.116,0,0,0,6/2/2015,,,52.832,52.832,0,0,0,8/17/2015,,Y,59,59,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING SS,16,SS,4/7/2015,44.196,4.064,4/23/2015,,,,44.196,0,0,0,6/2/2015,,,56.642,56.642,0,0,0,8/17/2015,,Y,65,65,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING SS,17,SS,4/7/2015,52.578,4.572,4/23/2015,,,,52.578,0,0,0,6/2/2015,,,64.262,64.262,0,0,0,8/17/2015,,Y,75,75,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING SS,18,SS,4/7/2015,41.656,4.826,4/23/2015,,,,41.656,0,0,0,6/2/2015,,,56.134,56.134,0,0,0,8/17/2015,,Y,65.5,65.5,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING SS,19,SS,4/7/2015,38.862,4.826,4/23/2015,,,,38.862,0,0,0,6/2/2015,,,56.896,56.896,0,0,0,8/17/2015,,Y,64.5,64.5,0,0,1
HUMANN RESOURCES 2010,D,CO-PLANTING,CO-PLANTING SS,20,SS,4/7/2015,37.338,5.334,4/23/2015,,,,37.338,0,0,0,6/2/2015,,,44.704,44.704,0,0,0,8/17/2015,,Y,51,51,0,0,1
HUMANN RESOURCES 2010,E,WRC CTRL,WRC CTRL,1,WRC,4/7/2015,31.496,5.08,4/23/2015,,,,31.496,0,0,0,6/2/2015,,,35.56,35.56,0,0,0,8/17/2015,,,40,40,0,0,0
HUMANN RESOURCES 2010,E,WRC CTRL,WRC CTRL,2,WRC,4/7/2015,23.876,2.54,4/23/2015,,,,23.876,0,0,0,6/2/2015,,,44.45,44.45,0,0,0,8/17/2015,,,53,53,0,0,0
HUMANN RESOURCES 2010,E,WRC CTRL,WRC CTRL,3,WRC,4/7/2015,20.32,2.54,4/23/2015,,,,20.32,0,0,0,6/2/2015,,,29.464,29.464,0,0,0,8/17/2015,,,36,36,0,0,0
HUMANN RESOURCES 2010,E,WRC CTRL,WRC CTRL,4,WRC,4/7/2015,43.18,4.064,4/23/2015,,,,43.18,0,0,0,6/2/2015,,,25.4,25.4,0,0,0,8/17/2015,,,31,31,0,0,0
HUMANN RESOURCES 2010,E,WRC CTRL,WRC CTRL,5,WRC,4/7/2015,26.416,3.302,4/23/2015,,,,26.416,0,0,0,6/2/2015,Y,,36.83,36.83,0,1,0,8/17/2015,Y,Y,30,30,6.83,1,1
HUMANN RESOURCES 2010,E,WRC CTRL,WRC CTRL,6,WRC,4/7/2015,26.416,3.81,4/23/2015,,,,26.416,0,0,0,6/2/2015,Y,,25.654,25.654,0.762,1,0,8/17/2015,Y,Y,26,26,0,1,1
HUMANN RESOURCES 2010,E,WRC CTRL,WRC CTRL,7,WRC,4/7/2015,22.098,2.8448,4/23/2015,Y,,21.59,21.59,0.508,1,0,6/2/2015,Y,,23.876,23.876,0,1,0,8/17/2015,Y,,18.5,18.5,5.376,1,0
HUMANN RESOURCES 2010,E,WRC CTRL,WRC CTRL,8,WRC,4/7/2015,24.638,5.08,4/23/2015,,,,24.638,0,0,0,6/2/2015,Y,,15.748,15.748,8.89,1,0,8/17/2015,Y,Y,15,15,0.748,1,1
HUMANN RESOURCES 2010,E,WRC CTRL,WRC CTRL,9,WRC,4/7/2015,24.638,2.794,4/23/2015,,,,24.638,0,0,0,6/2/2015,,,28.702,28.702,0,0,0,8/17/2015,Y,Y,30,30,0,1,1
HUMANN RESOURCES 2010,E,WRC CTRL,WRC CTRL,10,WRC,4/7/2015,30.48,3.556,4/23/2015,Y,,22.352,22.352,8.128,1,0,6/2/2015,Y,,26.416,26.416,4.064,1,0,8/17/2015,Y,Y,30,30,0,1,1
HUMANN RESOURCES 2010,E,WRC CTRL,WRC CTRL,11,WRC,4/7/2015,25.4,3.556,4/23/2015,,,,25.4,0,0,0,6/2/2015,,,30.48,30.48,0,0,0,8/17/2015,Y,Y,32.5,32.5,0,1,1
